peso,altura,sexo,edad,tabaco,ubes,carneRoja,verduras,deporte,drogas,dietaEsp,nivEstPad,nivEstudios,nivIngresos
74.05,1.65,M,34,0,0,4,10,10,6,N,2,4,4
75.58,1.67,V,41,30,0,0,0,4,0,N,3,4,4
67.75,1.72,V,42,10,9,1,0,7,0,N,2,2,2
59.9,1.57,M,27,0,6,2,0,0,0,N,2,1,0
98.57,1.85,V,56,80,7,3,3,0,0,S,0,1,3
62.66,1.77,V,18,10,6,6,8,4,0,N,2,4,4
113.31,1.75,V,48,100,0,1,0,3,0,N,1,0,0
109.84,1.83,V,40,0,0,2,15,16,0,N,1,2,2
61.44,1.6,M,33,20,13,0,11,15,1,N,1,3,2
119.72,1.73,V,40,190,0,4,15,10,0,N,0,0,0
56.39,1.77,V,31,20,19,3,13,7,5,N,2,2,2
64.98,1.9,V,40,0,21,5,0,0,0,N,2,2,1
85.24,1.68,V,22,0,0,4,1,3,0,N,0,1,0
68.12,1.74,V,46,0,8,4,0,0,0,N,1,2,3
74.26,1.72,M,37,0,0,0,5,2,0,N,1,4,4
54.69,1.61,M,62,10,6,2,0,2,0,N,3,4,4
115.83,1.73,V,34,240,0,0,0,0,6,N,1,2,1
62.42,1.72,V,34,0,13,3,0,0,0,N,0,1,0
79.36,1.66,V,60,0,5,3,25,15,0,S,2,1,2
83.56,1.57,M,44,90,0,3,12,10,0,N,2,4,4
55.76,1.76,V,29,30,16,0,10,1,1,N,2,4,4
88.9,1.76,V,18,0,0,3,0,0,NA,N,0,1,0
97.19,1.74,V,47,0,0,3,0,5,0,N,0,1,1
68.12,1.74,V,49,0,0,3,9,2,0,N,3,4,3
97.12,1.77,V,31,0,0,6,0,4,0,N,0,1,2
78.61,1.7,M,50,50,6,0,10,7,1,N,2,3,3
87.57,1.72,M,40,0,1,1,6,6,0,N,2,1,2
83.46,1.6,M,26,0,0,0,2,6,0,N,0,0,0
58.52,1.62,M,18,0,0,5,0,0,0,N,2,4,4
68.69,1.61,M,47,10,0,2,4,4,0,N,1,4,4
73.57,1.66,V,33,20,0,0,0,0,0,N,2,3,2
77.16,1.7,M,65,0,5,0,0,0,2,N,0,1,3
86.09,1.72,M,45,0,10,1,18,15,3,N,0,1,3
81.29,1.66,M,47,0,2,0,26,10,0,N,0,0,1
86.19,1.79,V,58,20,0,1,0,0,0,N,1,3,3
81.46,1.77,V,45,110,10,2,8,5,7,N,2,4,4
66.82,1.6,M,44,0,1,0,14,7,0,N,3,4,4
69.89,1.82,V,26,0,13,3,0,0,0,N,0,0,2
